"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Y1";"MURATA_CSTCE_V53";1;"16Mhz";;;
2;"P10";"Pin_Header_Straight_2x03";1;"CONN_02X03";;;
3;"REF**,REF**";"MountingHole_4mm";2;"MountingHole_4mm";;;
4;"C1,C4";"C_0805_HandSoldering";2;"100n";;;
5;"C2,C3";"C_0805_HandSoldering";2;"22p";;;
6;"R9,R21,R22,R23,R24,R25,R26,R11,R10,R1,R2";"R_0805_HandSoldering";11;"10k";;;
7;"R12";"R_0805_HandSoldering";1;"1M";;;
8;"RESET,BTN1,BTN2,BTN3,BTN4,BTN5,BTN6,BTN7,BTN8,BTN9,BTN10";"SW_SPST_FSMSM";11;"SW_PUSH";;;
9;"IC1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA328-A";;;
10;"P6,P12";"pin_array_5x1";2;"CONN_01X05";;;
11;"P1";"Pin_Header_Straight_2x11";1;"CONN_02X11";;;
